OUT_name,Abundance,Day,Treatment1,Treatment2,Combined_Treatment12
01: g_Sporosarcina ,4,0,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,4,0,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,2,0,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,2,0,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,2,0,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,1,0,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,1,0,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,1,0,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,1,0,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,0,0,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,0,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,0,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,546,7,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,501,7,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,375,7,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,150,7,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,2,7,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,1,7,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,7,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,0,7,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,7,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,0,7,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,147,14,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,136,14,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,127,14,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,60,14,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,33,14,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,25,14,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,90,21,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,82,21,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,18,21,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,3,21,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,1,21,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,0,21,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,21,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,66,35,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,41,35,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,40,35,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,13,35,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,9,35,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,8,35,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,22,63,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,18,63,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,10,63,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,10,63,With urea,Low moisture,Urea+High_moisture
01: g_Sporosarcina ,6,63,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,3,63,With urea,High moisture,Urea+Low_moisture
01: g_Sporosarcina ,2,63,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,2,63,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,1,63,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,1,63,Without urea,High moisture,No_Urea+Low_moisture
01: g_Sporosarcina ,0,63,Without urea,Low moisture,No_Urea+High_moisture
01: g_Sporosarcina ,0,63,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,0,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,0,0,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,0,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,0,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,0,0,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,0,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,0,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,0,0,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,0,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,0,0,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,0,0,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,0,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,41,7,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,6,7,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,2,7,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,1,7,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,0,7,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,7,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,0,7,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,7,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,7,Without urea,Low moisture,No_Urea+High_moisture
02: g_Actinoplanes,0,7,Without urea,High moisture,No_Urea+Low_moisture
02: g_Actinoplanes,605,14,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,603,14,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,391,14,With urea,Low moisture,Urea+High_moisture
02: g_Actinoplanes,12,14,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,5,14,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,2,14,With urea,High moisture,Urea+Low_moisture
02: g_Actinoplanes,612,21,With urea,Low moisture,Urea+High_moisture
